"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BKSC","Bank of South Carolina Corp.","18.84","$104.19M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","15.3","$66.67M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/botj",
"OZK","Bank OZK","28.09","$3.62B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ozk",
"BSVN","Bank7 Corp.","18.75","$188.58M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/bsvn",
"BFIN","BankFinancial Corporation","12.28","$188.79M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/bfin",
"BWFG","Bankwell Financial Group, Inc.","28.9","$224.2M","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/bwfg",
"BANR","Banner Corporation","54.39","$1.94B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/banr",
"BZUN","Baozun Inc.","32.88","$2.05B","2015","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/bzun",
"DFVL","Barclays PLC","74.18","$5.28M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfvl",
"DFVS","Barclays PLC","24.5315","$3.34M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfvs",
"DLBS","Barclays PLC","7.4416","$5.33M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlbs",
"DTUL","Barclays PLC","64.615","$5.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dtul",
"DTUS","Barclays PLC","32.78","$4.21M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dtus",
"DTYL","Barclays PLC","87.8212","$5.6M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dtyl",
"DTYS","Barclays PLC","9.575","$20.76M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dtys",
"FLAT","Barclays PLC","71.25","$4.88M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/flat",
